Car No,Expense Center,Month,Year,location,lon,lat
140596,0210,MAY,2016,OPP 337 SUMMER ST,-71.04812,42.34892
140596,0210,DEC,2017,OPP 337 SUMMER ST,-71.04812,42.34892
140596,0210,JUN,2018,OPP 337 SUMMER ST,-71.04812,42.34892
140596,0210,JUN,2015,OPP 337 SUMMER ST,-71.04812,42.34892
140596,0210,JUL,2017,OPP 337 SUMMER ST,-71.04812,42.34892
140596,0210,OCT,2017,OPP 337 SUMMER ST,-71.04812,42.34892
140596,0210,SEP,2016,OPP 337 SUMMER ST,-71.04812,42.34892
140771,0210,FEB,2018,OPP 337 SUMMER ST,-71.04812,42.34892
140771,0210,MAY,2017,OPP 337 SUMMER ST,-71.04812,42.34892
140771,0210,AUG,2017,OPP 337 SUMMER ST,-71.04812,42.34892
140771,0210,NOV,2017,OPP 337 SUMMER ST,-71.04812,42.34892
140771,0210,NOV,2015,OPP 337 SUMMER ST,-71.04812,42.34892
140771,0210,DEC,2015,OPP 337 SUMMER ST,-71.04812,42.34892
140771,0210,MAY,2017,OPP 337 SUMMER ST,-71.04812,42.34892
140789,0231,JAN,2015,CHARLES ST / BOYLSTON ST,-71.118926,42.342298
140789,0231,DEC,2015,CHARLES ST / BOYLSTON ST,-71.118926,42.342298
140789,0231,MAR,2015,CHARLES ST / BOYLSTON ST,-71.118926,42.342298
140789,0231,DEC,2016,CHARLES ST / BOYLSTON ST,-71.118926,42.342298
140789,0231,OCT,2015,CHARLES ST / BOYLSTON ST,-71.118926,42.342298
140866,0231,APR,2015,CHARLES ST / BOYLSTON ST,-71.118926,42.342298
140866,0231,DEC,2017,CHARLES ST / BOYLSTON ST,-71.118926,42.342298
140866,0231,FEB,2017,CHARLES ST / BOYLSTON ST,-71.118926,42.342298
140866,0231,SEP,2015,CHARLES ST / BOYLSTON ST,-71.118926,42.342298
140866,0231,JUN,2018,CHARLES ST / BOYLSTON ST,-71.118926,42.342298
141110,0210,AUG,2015,OPP 337 SUMMER ST,-71.04812,42.34892
141110,0210,JUN,2016,OPP 337 SUMMER ST,-71.04812,42.34892
141110,0210,JAN,2015,OPP 337 SUMMER ST,-71.04812,42.34892
